species,year,Antibiotic_1,Antibiotic_2,Antibiotic_3,S1S2S3,S1S2R3,S1R2S3,R1S2S3,S1R2R3,R1S2R3,R1R2S3,R1R2R3,S1S2S3_observed,S1S2R3_observed,S1R2S3_observed,R1S2S3_observed,S1R2R3_observed,R1S2R3_observed,R1R2S3_observed,R1R2R3_observed,S1S2S3_predicted,S1S2R3R_predicted,S1R2S3_predicted,R1S2S3_predicted,S1R2R3_predicted,R1S2R3R_predicted,R1R2S3_predicted,R1R2R3_predicted
K. pneumoniae,2015/16,ERTAPENEM,LEVOFLOXACIN,TOBRAMYCIN,3673,33,22,3,21,3,0,12,0.975046456,0.008760287,0.005840191,0.00079639,0.005574728,0.00079639,0,0.003185559,0.977135636,0.011689825,0.008142541,0.001120292,0.001205578,0.000247902,0.000122566,0.000335661
K. pneumoniae,2015/16,ERTAPENEM,MEROPENEM,NITROFURANTOIN,143,187,0,0,0,1,0,13,0.415697674,0.543604651,0,0,0,0.002906977,0,0.037790698,0.425593844,0.558031902,0,0,0,0.008405146,0,0.007969108
K. pneumoniae,2015/16,ERTAPENEM,MEROPENEM,PIPERACILLIN_TAZOBACTAM,352,20,0,2,0,1,0,8,0.919060052,0.052219321,0,0.005221932,0,0.002610966,0,0.020887728,0.932967918,0.054164956,0,0.006315381,0,0.003262975,0,0.00328877
K. pneumoniae,2015/16,ERTAPENEM,MEROPENEM,SULFA_TRIMETHOPRIM,323,78,0,0,0,3,3,14,0.767220903,0.185273159,0,0,0,0.007125891,0.007125891,0.033254157,0.783634257,0.192841589,0,0.006532226,0,0.007786931,0.001498595,0.007706402
K. pneumoniae,2015/16,ERTAPENEM,MEROPENEM,TOBRAMYCIN,311,41,0,2,0,0,2,13,0.842818428,0.111111111,0,0.005420054,0,0,0.005420054,0.035230352,0.865044478,0.1136763,0,0.007394893,0,0.004824956,0.001618845,0.007440527
K. pneumoniae,2015/16,ERTAPENEM,NITROFURANTOIN,PIPERACILLIN_TAZOBACTAM,1879,36,2490,0,116,1,2,14,0.414059057,0.00793301,0.548699868,0,0.025561922,0.000220361,0.000440723,0.003085059,0.411324735,0.010765968,0.552583957,0.000201106,0.023541097,7.73E+09,0.000926393,0.00057946
K. pneumoniae,2015/16,ERTAPENEM,NITROFURANTOIN,SULFA_TRIMETHOPRIM,2081,94,2660,0,246,1,5,16,0.407799334,0.018420537,0.521262003,0,0.048206937,0.000195963,0.000979816,0.003135411,0.402934875,0.023054999,0.527066725,0.000280579,0.044255996,0.00011054,0.001455048,0.000841238
K. pneumoniae,2015/16,ERTAPENEM,NITROFURANTOIN,TOBRAMYCIN,1753,11,2178,0,62,1,4,15,0.435636183,0.002733598,0.541252485,0,0.015407555,0.000248509,0.000994036,0.003727634,0.433530136,0.004887974,0.545042573,0.000329267,0.013952702,5.45E+09,0.001601259,0.000601603
K. pneumoniae,2015/16,ERTAPENEM,PIPERACILLIN_TAZOBACTAM,SULFA_TRIMETHOPRIM,4548,292,141,1,66,4,5,26,0.894747197,0.05744639,0.027739524,0.000196734,0.012984458,0.000786937,0.000983671,0.00511509,0.8937442,0.062994484,0.033112669,0.001027569,0.00726295,0.000586117,0.00045838,0.000813632
K. pneumoniae,2015/16,ERTAPENEM,PIPERACILLIN_TAZOBACTAM,TOBRAMYCIN,3478,38,107,3,30,0,2,16,0.94665215,0.01034295,0.029123571,0.000816549,0.008165487,0,0.000544366,0.004354927,0.948081392,0.013642542,0.033116369,0.001034242,0.002962909,0.000193302,0.00044829,0.000520954
K. pneumoniae,2015/16,ERTAPENEM,SULFA_TRIMETHOPRIM,TOBRAMYCIN,3993,13,229,3,75,3,3,19,0.920470263,0.002996773,0.052789304,0.000691563,0.017289073,0.000691563,0.000691563,0.004379899,0.921879244,0.008421773,0.061190867,0.001344964,0.005623268,0.000162965,0.000620551,0.000756368
K. pneumoniae,2015/16,GENTAMICIN,IMIPENEM,LEVOFLOXACIN,5728,58,12,56,46,31,1,17,0.962850899,0.009749538,0.002017146,0.009413347,0.007732392,0.00521096,0.000168095,0.002857623,0.964081726,0.016097389,0.004576107,0.011780555,0.001355987,0.001341003,0.000254039,0.000513194
K. pneumoniae,2015/16,GENTAMICIN,IMIPENEM,MEROPENEM,2042,0,2,56,40,1,1,8,0.949767442,0,0.000930233,0.026046512,0.018604651,0.000465116,0.000465116,0.00372093,0.960855069,0.002934571,0.005210898,0.026808001,0.002915829,0.000232566,0.000402815,0.000640251
K. pneumoniae,2015/16,GENTAMICIN,IMIPENEM,NITROFURANTOIN,2442,3185,6,20,32,74,1,13,0.423003638,0.551706219,0.001039321,0.003464403,0.005543045,0.012818292,0.00017322,0.002251862,0.420599519,0.554736511,0.001843008,0.005034985,0.005356784,0.011790883,0.00010361,0.0005347
K. pneumoniae,2015/16,GENTAMICIN,IMIPENEM,PIPERACILLIN_TAZOBACTAM,5634,166,10,42,19,20,0,11,0.954591664,0.028126059,0.001694341,0.007116232,0.003219248,0.003388682,0,0.001863775,0.954771581,0.031291553,0.002833761,0.008515546,0.00088862,0.001324354,0.000150554,0.000224031
K. pneumoniae,2015/16,GENTAMICIN,IMIPENEM,SULFA_TRIMETHOPRIM,5671,395,14,21,48,84,5,13,0.907214846,0.06318989,0.002239642,0.003359462,0.007678771,0.01343785,0.000799872,0.002079667,0.905326587,0.073312362,0.005288034,0.008055086,0.002644959,0.004513409,0.000192689,0.000666873
K. pneumoniae,2015/16,GENTAMICIN,IMIPENEM,TOBRAMYCIN,4715,40,14,11,38,72,0,14,0.961460033,0.008156607,0.002854812,0.002243067,0.007748777,0.014681892,0,0.002854812,0.964416793,0.019067316,0.005489191,0.00614526,0.001358653,0.00264518,0.000137367,0.000740241
K. pneumoniae,2015/16,GENTAMICIN,LEVOFLOXACIN,MEROPENEM,2086,2,31,33,41,2,20,7,0.938793879,0.00090009,0.013951395,0.014851485,0.018451845,0.00090009,0.0090009,0.003150315,0.940076422,0.005821052,0.027082189,0.019257923,0.003744494,0.000344792,0.002624079,0.001049049
K. pneumoniae,2015/16,GENTAMICIN,LEVOFLOXACIN,NITROFURANTOIN,2820,3579,9,16,85,45,2,43,0.427337475,0.542354902,0.001363843,0.00242461,0.01288074,0.006819215,0.000303076,0.006516139,0.424783163,0.546474038,0.003206405,0.003308232,0.012447677,0.008268791,0.000176962,0.001334732
K. pneumoniae,2015/16,GENTAMICIN,LEVOFLOXACIN,PIPERACILLIN_TAZOBACTAM,6275,182,46,29,22,16,11,23,0.950181708,0.027559055,0.006965475,0.004391278,0.003331314,0.002422774,0.001665657,0.003482738,0.95058176,0.030264685,0.009275939,0.006312733,0.001480638,0.0011047,0.000521771,0.000457774
K. pneumoniae,2015/16,GENTAMICIN,LEVOFLOXACIN,SULFA_TRIMETHOPRIM,6534,402,44,17,78,50,10,45,0.910027855,0.055988858,0.006128134,0.002367688,0.01086351,0.006963788,0.001392758,0.006267409,0.909678212,0.064547124,0.010953584,0.005728034,0.00446566,0.002822285,0.000471186,0.001333915
K. pneumoniae,2015/16,GENTAMICIN,LEVOFLOXACIN,TOBRAMYCIN,5688,26,38,9,58,46,0,48,0.96194825,0.004397091,0.006426518,0.00152207,0.009808896,0.007779469,0,0.008117707,0.967543618,0.013174303,0.010242471,0.003763374,0.002071953,0.001367298,0.000287134,0.001549848
K. pneumoniae,2015/16,GENTAMICIN,MEROPENEM,NITROFURANTOIN,1168,1446,0,13,28,53,2,7,0.429885904,0.532204637,0,0.004784689,0.010305484,0.019506809,0.000736106,0.002576371,0.425343984,0.538323678,0.001811576,0.007659205,0.008513398,0.017257963,0.000116392,0.000973805
K. pneumoniae,2015/16,GENTAMICIN,MEROPENEM,PIPERACILLIN_TAZOBACTAM,2485,92,0,28,17,13,1,5,0.940931465,0.03483529,0,0.010602045,0.006436956,0.004922378,0.000378644,0.001893222,0.941326405,0.040298483,0.001525145,0.012826577,0.00149821,0.002065601,9.79E+09,0.000361699
K. pneumoniae,2015/16,GENTAMICIN,MEROPENEM,SULFA_TRIMETHOPRIM,2769,276,4,12,48,69,4,8,0.868025078,0.086520376,0.001253918,0.003761755,0.015047022,0.021630094,0.001253918,0.002507837,0.863972827,0.104017571,0.006055536,0.010703702,0.005476451,0.008270436,0.000220967,0.001282511
K. pneumoniae,2015/16,GENTAMICIN,MEROPENEM,TOBRAMYCIN,2521,40,7,10,43,68,1,11,0.933358016,0.01480933,0.002591633,0.003702332,0.01592003,0.025175861,0.000370233,0.004072566,0.935550297,0.035017365,0.007349305,0.010770044,0.003459782,0.005962117,0.000237498,0.001653594
K. pneumoniae,2015/16,GENTAMICIN,NITROFURANTOIN,PIPERACILLIN_TAZOBACTAM,3169,70,3879,11,166,5,40,42,0.429287456,0.009482525,0.525467353,0.001490111,0.022487131,0.000677323,0.005418586,0.005689515,0.426221339,0.011977752,0.528765425,0.002548249,0.02229103,0.000375684,0.00640417,0.00141635
K. pneumoniae,2015/16,GENTAMICIN,NITROFURANTOIN,SULFA_TRIMETHOPRIM,3562,157,4272,15,402,13,24,97,0.416998361,0.018379771,0.500117069,0.001756029,0.047061578,0.001521892,0.002809646,0.011355654,0.411698836,0.023975007,0.505805527,0.002520496,0.046048536,0.000922816,0.005742122,0.003286659
K. pneumoniae,2015/16,GENTAMICIN,NITROFURANTOIN,TOBRAMYCIN,2776,4,3393,5,66,19,9,89,0.43640937,0.000628832,0.533406697,0.00078604,0.010375727,0.002986952,0.001414872,0.013991511,0.436153775,0.004225175,0.538095275,0.001930543,0.012234874,0.00048763,0.004314729,0.002557998
K. pneumoniae,2015/16,GENTAMICIN,PIPERACILLIN_TAZOBACTAM,SULFA_TRIMETHOPRIM,7458,443,212,19,109,39,14,46,0.894244604,0.053117506,0.025419664,0.002278177,0.013069544,0.004676259,0.001678657,0.005515588,0.891928262,0.060752144,0.031255895,0.00501259,0.006944091,0.002042558,0.000886369,0.00117809
K. pneumoniae,2015/16,GENTAMICIN,PIPERACILLIN_TAZOBACTAM,TOBRAMYCIN,5927,18,196,7,25,37,1,44,0.94756195,0.002877698,0.031334932,0.001119105,0.003996803,0.005915268,0.000159872,0.007034373,0.951787558,0.007678912,0.033436405,0.002959738,0.0016583,0.000906689,0.000545372,0.001027026
K. pneumoniae,2015/16,GENTAMICIN,SULFA_TRIMETHOPRIM,TOBRAMYCIN,6384,7,421,7,96,23,8,112,0.904505526,0.000991782,0.059648626,0.000991782,0.013601587,0.003258714,0.001133466,0.015868518,0.911196917,0.007680562,0.067145566,0.002931028,0.00575208,0.000602445,0.001518778,0.003172623
K. pneumoniae,2015/16,IMIPENEM,LEVOFLOXACIN,MEROPENEM,2003,1,44,2,0,2,1,45,0.95471878,0.000476644,0.020972355,0.000953289,0,0.000953289,0.000476644,0.021448999,0.971039078,0.000830197,0.021555756,0.001660808,0.000476436,0.000254279,0.000843757,0.003339688
K. pneumoniae,2015/16,IMIPENEM,LEVOFLOXACIN,NITROFURANTOIN,2356,3055,8,7,71,6,0,38,0.425194008,0.551344523,0.001443783,0.00126331,0.012813572,0.001082837,0,0.006857968,0.423968976,0.554887106,0.002980726,0.001130817,0.012652053,0.00322678,0.000112493,0.001041049
K. pneumoniae,2015/16,IMIPENEM,LEVOFLOXACIN,PIPERACILLIN_TAZOBACTAM,5539,164,50,10,11,2,0,27,0.95450629,0.028261244,0.008616233,0.001723247,0.001895571,0.000344649,0,0.004652766,0.956813835,0.02928371,0.009393303,0.001856519,0.001449029,0.000546821,0.000264343,0.000392441
K. pneumoniae,2015/16,IMIPENEM,LEVOFLOXACIN,SULFA_TRIMETHOPRIM,5398,386,37,13,52,0,6,57,0.907379391,0.064884855,0.006219533,0.002185241,0.008740965,0,0.001008573,0.009581442,0.910710115,0.069051374,0.010070626,0.002552788,0.004551691,0.001180947,0.000500967,0.001381492
K. pneumoniae,2015/16,IMIPENEM,LEVOFLOXACIN,TOBRAMYCIN,4606,59,27,10,42,1,4,51,0.959583333,0.012291667,0.005625,0.002083333,0.00875,0.000208333,0.000833333,0.010625,0.966438844,0.016268467,0.009632101,0.002579751,0.002463265,0.000566837,0.000472727,0.001578007
K. pneumoniae,2015/16,IMIPENEM,MEROPENEM,NITROFURANTOIN,800,1014,1,1,0,2,1,25,0.433839479,0.54989154,0.000542299,0.000542299,0,0.001084599,0.000542299,0.013557484,0.437133873,0.553920931,0.000512855,0.000888291,0.002040104,0.003675807,0.000130671,0.001697469
K. pneumoniae,2015/16,IMIPENEM,MEROPENEM,PIPERACILLIN_TAZOBACTAM,1910,69,1,2,0,0,0,13,0.957393484,0.034586466,0.000501253,0.001002506,0,0,0,0.006516291,0.962370075,0.034738968,0.000494738,0.000989735,0.000338954,0.000479354,5.77E+09,0.000530469
K. pneumoniae,2015/16,IMIPENEM,MEROPENEM,SULFA_TRIMETHOPRIM,1852,246,1,2,0,1,2,46,0.861395349,0.114418605,0.000465116,0.000930233,0,0.000465116,0.000930233,0.021395349,0.87477212,0.116337142,0.000768242,0.001536898,0.00109609,0.001922904,0.000247292,0.003319312
K. pneumoniae,2015/16,IMIPENEM,MEROPENEM,TOBRAMYCIN,2001,80,1,2,0,1,5,41,0.938995777,0.037541061,0.000469263,0.000938527,0,0.000469263,0.002346316,0.019239794,0.953344408,0.038323469,0.001143797,0.002140383,0.000597693,0.001054312,0.000458717,0.002937222
K. pneumoniae,2015/16,IMIPENEM,NITROFURANTOIN,PIPERACILLIN_TAZOBACTAM,2332,44,2961,5,124,1,5,21,0.424540324,0.008010195,0.5390497,0.000910249,0.022574185,0.00018205,0.000910249,0.003823048,0.422223195,0.01043813,0.542004224,0.000922239,0.02135034,0.000189816,0.002162772,0.000709285
K. pneumoniae,2015/16,IMIPENEM,NITROFURANTOIN,SULFA_TRIMETHOPRIM,2354,108,2937,7,322,0,11,34,0.407760263,0.018707778,0.508747618,0.001212541,0.055776892,0,0.001905422,0.005889486,0.401444907,0.024476831,0.516107125,0.001248528,0.051128901,0.000366999,0.003537295,0.001689413
K. pneumoniae,2015/16,IMIPENEM,NITROFURANTOIN,TOBRAMYCIN,1984,14,2436,5,83,1,7,28,0.435278631,0.003071523,0.534444932,0.001096972,0.018209741,0.000219394,0.001535761,0.006143045,0.432904572,0.00556923,0.538707295,0.001236088,0.017010902,0.000166873,0.003308661,0.001096378
K. pneumoniae,2015/16,IMIPENEM,PIPERACILLIN_TAZOBACTAM,SULFA_TRIMETHOPRIM,5364,312,118,10,68,0,8,22,0.90884446,0.052863436,0.019993223,0.001694341,0.011521518,0,0.001355473,0.00372755,0.907766919,0.057587086,0.025162053,0.002183333,0.005598921,0.000581599,0.000579051,0.000541038
K. pneumoniae,2015/16,IMIPENEM,PIPERACILLIN_TAZOBACTAM,TOBRAMYCIN,4535,37,139,9,10,0,2,19,0.954535887,0.007787834,0.029256999,0.001894338,0.00210482,0,0.000420964,0.003999158,0.956363857,0.008653851,0.030412602,0.002058464,0.001383081,0.000244121,0.000553888,0.000330135
K. pneumoniae,2015/16,IMIPENEM,SULFA_TRIMETHOPRIM,TOBRAMYCIN,4424,13,302,10,99,3,4,49,0.902120718,0.002650897,0.061582382,0.002039152,0.020187602,0.000611746,0.000815661,0.009991843,0.906107225,0.008379226,0.071559934,0.002669462,0.007661296,0.000309046,0.001415966,0.001897845
K. pneumoniae,2015/16,LEVOFLOXACIN,MEROPENEM,NITROFURANTOIN,847,1032,2,4,1,39,0,24,0.434581837,0.529502309,0.001026167,0.002052335,0.000513084,0.020010262,0,0.012314007,0.433049815,0.53587578,0.000838852,0.004496606,0.003271422,0.020019585,0.000162857,0.002285082
K. pneumoniae,2015/16,LEVOFLOXACIN,MEROPENEM,PIPERACILLIN_TAZOBACTAM,1874,66,1,18,1,1,0,12,0.949822605,0.033451597,0.000506842,0.009123163,0.000506842,0.000506842,0,0.006082108,0.953488072,0.033917893,0.000703832,0.009245424,0.000479708,0.00147856,0.00016892,0.000517592
K. pneumoniae,2015/16,LEVOFLOXACIN,MEROPENEM,SULFA_TRIMETHOPRIM,1917,202,4,14,0,37,0,48,0.862736274,0.090909091,0.00180018,0.00630063,0,0.016651665,0,0.02160216,0.870638323,0.099324776,0.001721635,0.011530754,0.001933943,0.009995649,0.000509134,0.004345784
K. pneumoniae,2015/16,LEVOFLOXACIN,MEROPENEM,TOBRAMYCIN,1962,43,2,11,2,33,4,43,0.934285714,0.02047619,0.000952381,0.005238095,0.000952381,0.015714286,0.001904762,0.02047619,0.945944423,0.028102463,0.002329971,0.012246434,0.000965866,0.005410209,0.000697982,0.004302651
K. pneumoniae,2015/16,LEVOFLOXACIN,NITROFURANTOIN,PIPERACILLIN_TAZOBACTAM,2590,55,3257,8,120,2,44,35,0.423825888,0.009000164,0.532973327,0.001309115,0.019636721,0.000327279,0.007200131,0.005727377,0.421000821,0.010788306,0.536214833,0.00244121,0.020101774,0.000305016,0.007734317,0.001413723
K. pneumoniae,2015/16,LEVOFLOXACIN,NITROFURANTOIN,SULFA_TRIMETHOPRIM,2711,125,3331,9,293,2,40,88,0.410819821,0.018942264,0.504773451,0.001363843,0.044400667,0.000303076,0.006061524,0.013335354,0.405709361,0.023058456,0.510564876,0.002275443,0.045147305,0.000666356,0.008641109,0.003937094
K. pneumoniae,2015/16,LEVOFLOXACIN,NITROFURANTOIN,TOBRAMYCIN,2371,15,2895,7,48,3,27,70,0.436166299,0.002759382,0.532560706,0.001287712,0.008830022,0.000551876,0.004966887,0.012877116,0.43539018,0.004143228,0.536009789,0.002264866,0.011781578,0.000288732,0.007819203,0.002302424
K. pneumoniae,2015/16,LEVOFLOXACIN,PIPERACILLIN_TAZOBACTAM,SULFA_TRIMETHOPRIM,5983,321,138,35,60,22,11,34,0.905966081,0.048606905,0.020896426,0.005299818,0.009085403,0.003331314,0.001665657,0.005148395,0.904525646,0.053875728,0.025223911,0.007456207,0.00499844,0.001964057,0.001042447,0.000913566
K. pneumoniae,2015/16,LEVOFLOXACIN,PIPERACILLIN_TAZOBACTAM,TOBRAMYCIN,5183,24,158,26,11,15,4,30,0.950834709,0.004402862,0.028985507,0.004769767,0.002017978,0.002751789,0.00073381,0.005503577,0.95315208,0.006676365,0.030282526,0.006338838,0.001233245,0.000671754,0.001017976,0.000627217
K. pneumoniae,2015/16,LEVOFLOXACIN,SULFA_TRIMETHOPRIM,TOBRAMYCIN,5367,10,330,26,62,10,12,96,0.907661086,0.001691189,0.055809234,0.004397091,0.010485371,0.001691189,0.002029427,0.016235413,0.914392951,0.006260021,0.062173273,0.006110585,0.004750752,0.000621504,0.00266527,0.003025644
K. pneumoniae,2015/16,MEROPENEM,NITROFURANTOIN,PIPERACILLIN_TAZOBACTAM,983,27,1179,1,53,0,0,15,0.43534101,0.011957484,0.52214349,0.00044287,0.023472099,0,0,0.006643047,0.434159735,0.013834104,0.524872192,0.000293806,0.024247573,0.000188491,0.001245564,0.001158535
K. pneumoniae,2015/16,MEROPENEM,NITROFURANTOIN,SULFA_TRIMETHOPRIM,1110,71,1285,2,214,0,5,30,0.40853883,0.026131763,0.472948105,0.000736106,0.078763342,0,0.001840265,0.01104159,0.399186808,0.034795464,0.484389265,0.000888101,0.072671519,0.00046457,0.004001511,0.003602763
K. pneumoniae,2015/16,MEROPENEM,NITROFURANTOIN,TOBRAMYCIN,990,11,1191,1,72,1,5,28,0.43062201,0.004784689,0.518051327,0.000434972,0.031317964,0.000434972,0.002174859,0.012179208,0.426422108,0.00915387,0.526202749,0.000999736,0.029682381,0.000241859,0.004461246,0.002836051
K. pneumoniae,2015/16,MEROPENEM,PIPERACILLIN_TAZOBACTAM,SULFA_TRIMETHOPRIM,2321,192,58,1,47,0,3,19,0.878833775,0.072699735,0.021961378,0.000378644,0.017796289,0,0.001135933,0.007194245,0.87830355,0.080050836,0.029098919,0.000718425,0.009593689,0.000450244,0.000546168,0.00123817
K. pneumoniae,2015/16,MEROPENEM,PIPERACILLIN_TAZOBACTAM,TOBRAMYCIN,2399,32,83,1,15,0,3,19,0.940047022,0.012539185,0.032523511,0.00039185,0.005877743,0,0.001175549,0.007445141,0.943469163,0.014991501,0.03585848,0.000768182,0.003102631,0.000193322,0.000682055,0.000934666
K. pneumoniae,2015/16,MEROPENEM,SULFA_TRIMETHOPRIM,TOBRAMYCIN,2323,11,208,4,97,4,4,50,0.860051833,0.004072566,0.077008515,0.001480933,0.035912625,0.001480933,0.001480933,0.018511662,0.864597297,0.014339272,0.094337227,0.00284582,0.016227053,0.000593617,0.002231665,0.004828048
K. pneumoniae,2015/16,NITROFURANTOIN,PIPERACILLIN_TAZOBACTAM,SULFA_TRIMETHOPRIM,3054,126,59,3638,16,281,118,90,0.413709022,0.017068545,0.007992414,0.492820374,0.002167434,0.038065565,0.015984828,0.012191818,0.407748664,0.021476643,0.010183998,0.497209994,0.001683213,0.038537475,0.018629129,0.004530885
K. pneumoniae,2015/16,NITROFURANTOIN,PIPERACILLIN_TAZOBACTAM,TOBRAMYCIN,2461,9,54,2977,4,37,117,46,0.431375986,0.001577564,0.009465381,0.521822962,0.000701139,0.006485539,0.020508326,0.008063103,0.428537069,0.002833677,0.011644809,0.525052466,0.000452712,0.007909352,0.021652265,0.001917649
K. pneumoniae,2015/16,NITROFURANTOIN,SULFA_TRIMETHOPRIM,TOBRAMYCIN,2658,9,123,3140,14,16,262,139,0.417858827,0.001414872,0.019336582,0.493633077,0.002200912,0.002515328,0.041188492,0.02185191,0.414399026,0.002474646,0.024202418,0.498588636,0.001387515,0.006988307,0.045797031,0.006162421
K. pneumoniae,2015/16,PIPERACILLIN_TAZOBACTAM,SULFA_TRIMETHOPRIM,TOBRAMYCIN,5618,11,316,143,44,11,54,58,0.898161471,0.001758593,0.050519584,0.022861711,0.007034373,0.001758593,0.008633094,0.009272582,0.89842793,0.005345068,0.057579885,0.027076176,0.002910567,0.000990242,0.005851779,0.001818354
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,AZTREONAM,1111,2,91,2,1,0,24,16,0.890938252,0.001603849,0.07297514,0.001603849,0.000801925,0,0.019246191,0.012830794,0.897330796,0.001900327,0.082927819,0.005594412,0.001592884,0.000186035,0.008042124,0.002425602
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,CEFAZOLIN,2425,4,192,5,19,0,26,20,0.901151988,0.001486436,0.071348941,0.001858045,0.007060572,0,0.009661836,0.007432181,0.903594534,0.003436865,0.079767536,0.004461941,0.00316295,0.000145407,0.004053618,0.001377149
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,CEFEPIME,3569,0,371,10,2,0,88,27,0.87755102,0,0.091222031,0.002458815,0.000491763,0,0.021637571,0.0066388,0.880086018,0,0.101890046,0.007347114,0.000577021,0,0.008922595,0.001177207
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,CEFTAZIDIME,3491,3,350,8,14,0,61,58,0.876035132,0.000752823,0.08782936,0.002007528,0.003513174,0,0.015307403,0.01455458,0.88186107,0.001717873,0.097552488,0.005655697,0.002716352,0.000151832,0.007475901,0.002868787
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,CEFTRIAXONE,3490,6,344,8,19,0,56,60,0.876223952,0.001506402,0.08636706,0.002008536,0.004770274,0,0.014059754,0.015064022,0.881810026,0.002949067,0.096086578,0.005450022,0.003448182,0.000218549,0.007017822,0.003019754
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,CEFUROXIME,963,29,68,1,17,1,17,22,0.861359571,0.025939177,0.060822898,0.000894454,0.015205725,0.000894454,0.015205725,0.019677996,0.863951695,0.032192978,0.075095521,0.005125728,0.010744506,0.001022128,0.006721153,0.005146291
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,CIPROFLOXACIN,4193,17,395,10,27,0,91,39,0.878667225,0.003562448,0.082774518,0.002095557,0.005658005,0,0.019069573,0.008172674,0.880137425,0.005481632,0.09475543,0.006364414,0.003419578,0.000251521,0.007803125,0.001786874
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,ERTAPENEM,4059,0,399,8,0,0,112,8,0.885085041,0,0.087003925,0.00174444,0,0,0.024422154,0.00174444,0.88594276,0,0.09845912,0.006453001,0,0,0.008858919,0.0002862
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,GENTAMICIN,4201,9,410,10,12,0,87,43,0.880343671,0.001886002,0.085917854,0.002095557,0.002514669,0,0.01823135,0.009010897,0.883149307,0.002755338,0.096058297,0.006242828,0.002156503,0.000192158,0.007732833,0.001712735
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,IMIPENEM,2866,2,304,8,1,1,76,8,0.877526026,0.00061237,0.09308022,0.002449479,0.000306185,0.000306185,0.023270055,0.002449479,0.877200549,0.000871861,0.104017798,0.00799909,0.000492457,8.46E+09,0.008886022,0.000447629
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,LEVOFLOXACIN,3230,14,326,10,25,0,83,23,0.870385341,0.003772568,0.087846942,0.002694691,0.006736729,0,0.022365939,0.00619779,0.870038161,0.005989371,0.101681182,0.007811932,0.003647968,0.000255372,0.009036506,0.001539508
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,MEROPENEM,559,0,42,0,0,0,14,2,0.905996759,0,0.068071313,0,0,0,0.022690438,0.003241491,0.912813531,0,0.079193387,0,0,0,0.00746021,0.000532872
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,NITROFURANTOIN,1843,2121,137,4,259,6,37,80,0.410742144,0.472698908,0.03053265,0.000891464,0.057722309,0.001337196,0.008246044,0.017829285,0.405943709,0.477608444,0.039381093,0.002933988,0.060265515,0.004560011,0.003080296,0.006226944
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,PIPERACILLIN_TAZOBACTAM,3757,1,351,10,67,0,60,69,0.870683662,0.00023175,0.081344148,0.002317497,0.015527231,0,0.013904983,0.01599073,0.877342815,0.001839123,0.096650071,0.005907786,0.007153029,9.56E+09,0.007008784,0.004002826
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,SULFA_TRIMETHOPRIM,4022,188,329,10,92,0,62,68,0.843009851,0.039404737,0.06895829,0.002095997,0.019283169,0,0.012995179,0.014252777,0.841585126,0.046100028,0.082875501,0.005276291,0.01344876,0.001107224,0.005924184,0.003682886
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AMPICILLIN_SULBACTAM,TOBRAMYCIN,4200,10,409,10,13,0,66,64,0.880134116,0.002095557,0.085708298,0.002095557,0.002724225,0,0.013830679,0.013411567,0.88516594,0.003047503,0.094133808,0.005539711,0.002677348,0.000247759,0.006709104,0.002478827
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AZTREONAM,CEFAZOLIN,1193,7,3,13,0,12,0,3,0.969130788,0.005686434,0.002437043,0.01056052,0,0.009748172,0,0.002437043,0.970964737,0.009323737,0.002421366,0.014611302,0.000185244,0.001969999,0.000252445,0.000271169
K. pneumoniae,2017/18,AMOXICILLIN_CLAVULANATE,AZTREONAM,CEFEPIME,589,0,1,16,0,2,2,14,0.943910256,0,0.001602564,0.025641026,0,0.003205128,0.003205128,0.022435897,0.960386864,0,0.00278658,0.0293248,0,0.00158963,0.001946891,0.003965234
